,precision,recall,f1-score,support
normal,1.0,0.2966666666666667,0.45758354755784064,300.0
academic_stress,0.5389344262295082,0.8766666666666667,0.6675126903553299,300.0
emotional_distress,0.8701754385964913,0.8266666666666667,0.8478632478632478,300.0
urgent_human_review,0.8668639053254438,0.9766666666666667,0.9184952978056427,300.0
accuracy,0.7441666666666666,0.7441666666666666,0.7441666666666666,0.7441666666666666
macro avg,0.8189934425378608,0.7441666666666666,0.7228636958955152,1200.0
weighted avg,0.8189934425378609,0.7441666666666666,0.7228636958955154,1200.0
