,precision,recall,f1-score,support
normal,0.4742268041237113,0.30666666666666664,0.3724696356275304,300.0
academic_stress,0.0,0.0,0.0,300.0
emotional_distress,0.3294460641399417,0.7533333333333333,0.45841784989858014,300.0
urgent_human_review,0.6017316017316018,0.4633333333333333,0.5235404896421846,300.0
accuracy,0.38083333333333336,0.38083333333333336,0.38083333333333336,0.38083333333333336
macro avg,0.3513511174988137,0.38083333333333336,0.3386069937920738,1200.0
weighted avg,0.3513511174988137,0.38083333333333336,0.33860699379207376,1200.0
